Text,Paraphrase
Tom said he had been ill.,Tom said he's sick.
Tom said that he's sick.,Tom said he'd been ill.
Today is the 3rd.,Today is the third.
I wake up at eight.,I wake up at 8:00.
"See nothing, hear nothing, say nothing.","See no evil, Hear no evil, Speak no evil."
It shocked me.,It blows my mind.
You see? You must study a foreign language.,Get it? You've got to study a foreign language.
I followed my mother's example.,I follow my mom's example.
Both the boys shouted out.,The two boys are quarreling.
"I am learning her name still, too.",I still remember his name.
No one was watching.,Nobody was watching.
It is not necessary for us to attend the meeting.,It is not necessary that we attend the reunion.
Tom told me that he's irritated.,Tom told me that he was nervous.
Tom eats breakfast every morning at six o'clock.,Tom eats breakfast at 6 in the morning every day.
She likes to go to the library.,She likes going to the library.
She has to change clothes before tonight's party.,She needs to change her outfit before the party this evening.
Is it always so crowded here?,Are there always so many people here?
This cat is brown-colored.,The cat is brown.
It rained hard during the morning.,It was pouring rain all morning long.
I don't care for beer.,I don't like beer.
Are they already there?,Are they already here?
I haven't seen him today.,I haven't seen her today.
I didn't see him today.,I didn't see her today.
I thought you were going to kill me.,I thought I was going to kill myself.
I think it would be fun.,I think that would be fun.
I think it'd be fun.,I think it'll be fun.
Tom apologized for what he did.,Tom apologized for what he'd done.
Is it really Tom?,Is that really Tom?
Are you really Tom?,You really are Tom.
The trip calls for a lot of money.,That trip is expensive.
Which is mine?,Which one is mine?
Bill often breaks his promises.,Bill often doesn't keep his promises.
Mathematics is his strongest subject.,Mathematics is his best subject.
His father passed away last year.,Her father died last year.
You can't park around here.,You're not allowed to park around here.
I haven't yet finished reading this book.,I haven't finished reading this book yet.
Tom should be encouraged.,Tom needs encouragement.
The students all laughed.,All the students burst into laughter.
There is no man but desires peace.,There is no one who doesn't desire peace.
Tom has apparently already done that.,Tom has apparently done that already.
Tom and Mary weren't able to help me.,Tom and Mary couldn't help me.
You can't let Tom do that anymore.,You can't allow Tom to do that anymore.
Tom will likely never do that again.,Tom is likely to never do that again.
Tom has never been in prison.,Tom never went to jail.
It's not too late.,It isn't too late.
Tom and I are classmates.,Tom and I are in the same class.
Tom knew that Mary wouldn't cry.,Tom knew Mary wouldn't cry.
Tom knew what Mary had done.,Tom knew what Mary was doing.
I know this isn't easy for you.,I know this hasn't been easy for you.
Neither Tom nor Mary is going to do that.,Neither Tom nor Mary will do that.
Tom knew Mary would come.,Tom knew that Mary was coming.
Tom didn't mean to do that.,Tom didn't want to do it.
He bade me stay behind.,He begged me to stay.
He saw a UFO flying last night.,"Last night, he saw a UFO in the sky."
Tom told Mary he wasn't able to do that.,Tom told Mary she couldn't do that.
I didn't want to wake you.,I didn't mean to wake you.
Tom asked a few questions.,Tom asked several questions.
Tom can't work tonight.,Tom can't work this evening.
I've been told Tom is going to be fired.,I've been told Tom will be fired.
This clock is mine.,This watch is mine.
That was really unfair.,She was very unfair.
Don't expect miracles.,Don't expect any miracles.
Tom is now studying in his room.,Tom is studying in his room now.
You are not to speak to him while he is studying.,Don't talk to him while he's studying.
You are both in the wrong.,You're both wrong.
They're both wrong.,Both of you are wrong.
We probably should've left early.,We probably should have left early.
Tom extinguished the fire.,Tom stamped out the fire.
Both Tom and Mary want it.,Tom and Mary both want it.
Did he actually say that to you?,Did he really tell you that?
There's someone here to see you.,There's someone here who wants to see you.
Tom told Mary his age.,Tom told Mary how old he was.
None of this would have been necessary if we had followed Tom's advice.,None of this would've been necessary if we'd followed Tom's advice.
Tom thought Mary would want to do that.,Tom thought Mary would like doing that.
Tom said he would wait.,Tom says that he'll wait.
Tom said that he'd wait.,Tom told me he'd wait.
Tom says he'll wait.,Tom said he'll wait.
Tom said he'd wait.,Tom told me that he'd wait.
The challenge of translation fascinates me.,I'm captivated by the challenges of translation.
I think Tom's an idiot.,I think Tom is an idiot.
Tom is going to tell the truth.,Tom will tell the truth.
He needs to be removed from office.,That person needs to be relieved from his/her post.
Is it a good material?,Is that material good?
Really? You look younger.,Really? You look so young.
There were not more than one hundred passengers on board the ferry.,"At most, there were only 100 passengers on the ferry."
I am putting on weight these days.,I've put on weight recently.
The government transported goods to the island by helicopter.,The government sends goods to that little island by helicopter.
Love is like the measles. We all have to go through it.,Love is like measles - everyone should experience it.
Has Tom ever threatened you?,Did Tom ever threaten you?
Tom's intentions were quite clear.,Tom's intentions were pretty clear.
I collect stamps.,I'm a stamp collector.
Did you hear what I said?,Have you heard what I said?
"I've looked everywhere, but I can't find my wallet.","I have looked everywhere, but I can not find my wallet."
I went to bed at ten yesterday.,"Yesterday, I went to sleep at ten o'clock."
Tom lives in the heart of the city.,Tom lives downtown.
I should've added more salt.,I should have added more salt.
The best cookies I've ever eaten are the ones that your mother baked for me.,The best cakes that I have ever eaten are those that my mother baked.
We've run out of water.,We have a water outage.
We have no water.,We don't have any water.
I don't have water.,I don't have the water.
A swallow flies very swiftly.,Swallows fly swiftly.
A great number of citizens went into the army.,Many citizens joined the army.
We will have a math quiz tomorrow.,There's a math test tomorrow.
He has such foreign books as you can't obtain in Japan.,He has western books the like of which you can't get in Japan.
He has foreign books of a kind you can't find in Japan.,He has some foreign books that cannot be found in Japan.
"Tom is quite stubborn, isn't he?","Tom is being quite obstinate, isn't he?"
I bought a round-trip ticket.,I bought a return ticket.
The doctor thought the patient's pulse was rather rapid.,The doctor thought that the patient's pulse was a little fast.
Tom played the violin.,Tom played violin.
I know that Tom is hungry.,I know Tom is hungry.
She was going up a ladder.,She went upstairs.
What the hell are you going to do with it?,What the devil can you do with this?
I knew this day was coming.,I knew this day was going to come.
That’s an even better deal.,That would be even better value.
We haven't been able to find Tom.,We couldn't find Tom.
They are unlikely to marry.,They're unlikely to get married.
My son wants to be a professional golfer.,My son wants to become a professional golf player.
I can't guarantee that that's going to happen.,I can guarantee that that'll happen.
I don't know anyone here.,I know no one here.
Was there enough money?,Is this enough money?
I'd like breakfast in my room at 8 sharp.,I would like my breakfast in my room at eight o'clock sharp.
The United States of America is a democratic country.,The United States is a democracy.
I want to go to America.,I would like to go to the United States.
My father is out in the garden now.,My father's in the garden.
The doctor felt my pulse.,The doctor took my pulse.
"I've asked lots of people to help, but I haven't any joy yet.","I asked many people for help, but so far I haven't had any luck."
I spoke loudly so that everyone could hear me.,I spoke so loudly as to be heard by everyone.
That isn't what I'm looking for.,That's not what I was looking for.
I barely escaped being hit by the truck.,I came near to being run over by the truck.
I hadn't realized the magnitude of the problems.,I didn't realize the importance of that problem.
Someone threatened to kill that politician.,Someone was coerced to kill the politician.
I bought two dozen pencils.,I bought 24 pencils.
The government are being criticised from all sides.,The government is being criticized from all sides.
Someone was calling my name.,Somebody is shouting my name.
It isn't snowing anymore.,It isn't snowing.
It's not snowing.,It's not snowing anymore.
She is very happy to eat chocolate.,She is very happy eating chocolate.
I'll come back tomorrow.,I'll be back tomorrow.
I'll come again tomorrow.,I'm going to come back tomorrow.
Somebody was murdered.,Someone was killed.
It won't be easy to find someone capable of taking his place.,It won't be easy finding someone who is qualified to take his place.
My mother often slaps passers-by.,My mother often gives pies to passers-by.
He asked for a glass of beer.,He asked for a beer.
He called for beer.,He ordered a beer.
Where can I take a bath?,Where can I wash up?
It seems that Tom is lying.,Tom seems to be lying.
I wonder if Tom likes me.,I wonder whether Tom likes me.
Tom says he is rich.,Tom says he's rich.
Tom says that he's very rich.,Tom says he's very rich.
Tom is Mary's former husband.,Tom is Mary's ex-husband.
Tom is wearing a wig.,Tom wears a wig.
We are a family.,We're a family.
A horse doesn't eat cucumber salad.,Horses don't eat cucumber salad.
This time I will not come back.,This time I won't come back.
The cat is not dead.,The cat isn't dead.
I went to school in Boston.,I attended school in Boston.
I am new to the work.,This work is new to me.
Who is the boy swimming in the river?,Who’s that guy swimming in the river?
We should've studied harder.,We should have studied harder.
I never win.,I can't win.
We won't see you again.,We won't see him again.
What did you do to me?,What've you done for me?
I like green peppers very much.,I love green peppers.
Broccoli is one of the healthiest vegetables.,Broccoli is one of the best vegetables for you.
Today's broccoli is overcooked and tasteless.,Today's broccoli is not good because it has been boiled for too long.
Koreans don't like coriander.,Koreans don't like eating cilantro.
Shiitake is a sort of mushroom.,"A ""shiitake"" is a kind of mushroom."
I'm sure that he is clever.,He's definitely somebody clever.
I could have told you that.,I should've told you.
I could've told you that.,I should have told you.
Tom made a terrible mistake.,Tom made a horrible mistake.
I don't like traveling with lots of luggage.,I don't like to travel with a lot of luggage.
I turned the lights out.,I turned off the light.
What kind of books don't you like?,What kind of books do you not like?
Did you see the eclipse yesterday?,Did you see yesterday's eclipse?
Is it Tuesday already?,It's already Tuesday?
Tom doesn't lie.,Tom isn't lying.
I'm glad that's over.,I'm glad it's over.
"In a democracy, it's important for the press to be independent.","In a democracy, it is important that the press be independent."
I'm going to swim.,I'll swim.
Tom said Mary was shy.,Tom said Mary is shy.
We've got nothing to lose.,We have nothing left to lose.
The thermometer went down below zero.,The temperature's fallen below zero.
Language is one of man's most important inventions.,Language is the most important invention of the man.
Tom and Mary hugged each other.,Tom and Mary embraced.
Tom and Mary hugged.,Tom and Mary embraced each other.
Call a taxicab to take us.,Call a taxi to pick us.
"Children, wake up!",Get up children!
I have no friend to talk with.,I don't have any friends to talk to.
Tom has a bright future.,Tom's future is bright.
Tom translated the French letter into English for his boss.,Tom translated a letter from French to English for his boss.
I love Sino-Tibetan languages.,I adore Sino-Tibetan languages.
She sighed with disappointment at the news.,"When she heard the news, she sighed disappointedly."
You must have a driver's license before you can drive a car.,It is necessary to have a license to drive a car.
"To drive a car, you need a license.",To be allowed to drive you need a licence.
Her eyes are black as coal.,Her eyes are dark.
The cow cast her calf.,The cow miscarried.
The cow lost its calf.,The cow cast a calf.
The beer is stale.,The beer has gone flat.
He sings treble.,She sings soprano.
He had been walking for hours.,It had worked for hours.
I'll be there rain or shine.,I will come by all means.
Do a better job next time.,Try harder next time.
He is at her side.,He's next to her.
I was just about to come looking for you.,I was about to go look for you.
A new difficulty presented itself.,A new difficulty has arisen.
I don't think you ought to.,I don't think you should.
We started at six.,We left at 6 o'clock.
I know the feeling.,I know that feeling.
You've put your hat on backwards.,Your hat's on backwards.
Show me where it hurts.,Show me where the pain is.
I was trying to tell him that.,I tried to tell him.
You need to have breakfast.,You need to eat breakfast.
I haven't heard from you for a long time.,I haven't received any messages from you in a long time.
The lake is deepest here in so far as I know.,"To the best of my knowledge, the lake is the deepest at this point."
The style of this item of clothing is good; it's just a bit expensive.,"The design of these clothes is indeed rather nice, but they are a little expensive."
I'd certainly like to go and watch the match; it's just that I'm not sure if I have time.,"I do really want to watch this match, but I'm not sure if I have the time."
This year's weather isn't very typical.,This year's weather is rather unusual.
"No matter how hard I strive, I fail to achieve my parents' requirements.","No matter how hard I try, I can't meet my parents' expectations."
He is so heartless.,He has no heart at all.
They were to meet here at seven.,They planned to get together here at 7 o'clock.
I don't need a loan anymore.,I no longer need a loan.
I cut myself shaving.,I cut myself while shaving.
"Every time I travel to Paris, I go to Sacre-Coeur and sit on the steps to listen to people sing.","Every time I go to Paris, I visit the Sacred Heart Basilica, sit on the steps, and listen to the people below singing and playing musical instruments."
Where would you like me to put this?,Where should I put it?
A small town lies between the big cities.,A little village is situated in between both towns.
This is the first time I've seen such a dreadful movie.,This is the first time I have seen such a horrible movie.
"Of course, I will be at the party.",Of course I'm going to the party.
You can't fight a good fight with such a defeatist attitude.,You can't fight such a defeatist approach.
"Old birds sing, young birds twitter.",Children usually think and behave like their parents.
Are they not Englishmen?,Aren't they Englishmen?
"Though I am tired, I will work hard.","Even though I'm tired, I'll study hard."
I wonder which country will be the first to censor Tatoeba.,I wonder what country will censor Tatoeba first.
I am an entrepreneur.,I am a business creator.
His very servants despised him.,His personal servants hated him.
It is no use asking me for money.,There's no point in asking me for money.
You have been a great mentor to me.,For me you are a good teacher.
How did you come by such a large sum of money?,How did you come by that much money?
Many scientists have the reputation of being eccentric.,Many scholars are considered strange.
I'm not tired right now.,I don't feel like sleeping right now.
There's no rush to get married.,Don't rush into marriage.
I seem to have the wrong number.,I must've mistyped the number.
He canceled the appointment at the last moment.,He cancelled the meeting at the last minute.
He had no house to live in.,He had no place to live.
I haven't enough material to write a book yet.,I have not yet collected sufficient materials to write a book.
The Soviet troops started to withdraw from Afghanistan.,The Soviet troops have started the withdrawal from Afghanistan.
"Living in the country, I have few visitors.","Since I live on a farm, I don't have a lot of guests."
All the students clapped their hands.,All the students applaud.
Who did you give it to?,To whom did you give it?
He is by far the cleverest student in the class.,He is the class's extremely intelligent student.
She's not among the regular employees of this company.,She's not a regular employee of this company.
You have no need to be ashamed.,You don't have to be shy.
It's just around the corner.,Just round the corner.
I'll help you look for him.,I'll help you find him.
Is it far to Tallinn?,Is it a long way to Tallinn?
It is clearing up.,It's clearing up.
Some people consider Led Zeppelin to be the greatest band there has ever been.,Some people consider Led Zeppelin the greatest band ever.
He walked on tiptoe so that nobody would hear him.,He tiptoed so no one heard him.
You can't bring this in.,You can't go in with this.
A cat has seven lives.,Cats have seven lives.
It wasn't her idea.,It wasn't his idea.
The company suffered big losses.,The company suffered much damage.
A mouse is running about in the room.,One mouse is running around in the room.
A mouse is running around the room.,A mouse came into the room.
My father was satisfied with the result.,My father feels satisfied about this result.
What you want is the most important thing.,Follow your desire.
"Although it seems very difficult to study Chinese, it's not as hard as you think.","Although studying Chinese seems difficult, it's simpler than you think."
The American government has always regarded England as America's house pet.,The US government has always regarded England as the United States' house pet.
Safety is what matters most.,Safety is the most important thing.
Did you fall in love with her at first sight?,Did you fall for her at first sight?
Your death was not in vain.,You didn't die in vain.
He raised the glass to his lips and drained it at one gulp.,He raised the glass to his mouth and drained it all in one shot.
"If you look from afar, most things will look nice.",Distance creates beauty.
The good die young.,Whom the gods love die young.
The ice was so thick as to walk on.,The ice was thick enough to walk on.
A fallen tree obstructed the road.,A fallen tree blocked the road.
A fallen leaf floated on the surface of the water.,Dry leaves float on the water's surface.
"Being written in great haste, this letter has quite a few mistakes.",This letter was written in great haste and contains many errors.
"With the arrival of winter, the leaves on the trees fall down.",The leaves on the trees fall as winter comes.
It is good for us to understand other cultures.,It's good for our understanding of other cultures.
My grandfather lived to be ninety.,My grandfather lived to be 90 years old.
May I speak to Bill?,Can I speak with Bill?
It is strange that you should know nothing about her wedding.,It's surprising that you haven't heard anything about her wedding.
Take it easy! Don't be so nervous.,Calm down! Don't get nervous!
Are we going out for lunch today?,Are we going out to eat this afternoon?
I go to work every day by train.,"Every day, I take the train to work."
At night he goes out in the city to drink something.,He goes to drink beer every night.
Are these gestures used in the USA?,Do people in America use these gestures?
It's still just as before here.,This place still looks the same as it did a long time ago.
You mustn't go out now. Why not?,"Don't go out now. ""Why not?"""
The monkey cannot sit still.,The monkey's bottom is not staying still.
Some songs come from Scotland.,There are some songs from Scotland.
The petals are floating on the water.,The petals floated on the surface of the water.
Five hundred years ago it was a house.,"Five hundred years ago, they were one family."
The waterways ramify across the plain.,The waterways branch out across the plain.
"It exists, but seeing as it is taboo and that nobody talks about it, there's no need to have words for it.","It exists, but since it's taboo and nobody talks about it, there's no need to give it a name."
I cannot quite understand it.,I can't make him out at all.
I'll boil you the potatoes.,I'll boil the potatoes for you.
I'm going to see a horror film.,I'm going to watch a scary movie.
The lonely patient derives pleasure from sewing.,This lonely patient takes pleasure from sewing.
I am waiting for approval.,I am awaiting an agreement.
He sat on the bed.,He was sitting on the bed.
"Not now, please wait a bit.",That’s not possible right now. Please wait a bit.
"He said, ""I want to be a scientist.""","He said, ""I plan to become a researcher."""
"I've worked all day, so that I am very tired.",I'm so tired - I worked all day long.
He didn't like to be punished.,He does not like being punished.
You may go on condition that you return by five.,"If you come back by five, you may go."
"If she knew I were here, she would come running.","If she knows I'm here, she'll come quickly."
He has a hat on.,He is wearing a hat.
The train pulled out two hours ago.,The train left two hours ago.
That mayo is nothing but chemicals!,There are only chemicals in that mayo!
There are only food supplements in that mayonnaise!,The mayonaise is pure chemistry.
Cast not pearls before swine.,Do not cast pearls before swine.
Don't cast pears before swine.,Do not throw your pearls before pigs.
"I'm not a woman hater; and if I were, I would make an exception for you.","I'm no misogynist, but were I so then I'd surely exempt you."
He was not at all satisfied.,He's not quite satisfied.
He was not satisfied at all.,He wasn't at all satisfied.
He has come from Boston.,He came from Boston.
Mt. Fuji is a beautiful sight at sunset.,Mt. Fuji looks spectacular at sunset.
"Cities are exciting places, but also stressful.","Cities are stimulating, but also stressful places."
"The one who wrote, read twice.",He who writes reads twice.
The kids aren't playing in the living room but rather in the garden.,"The children are not playing in the living room, but rather in the yard."
He is responsible for it.,He's responsible for that.
I am afraid of offending you.,I'm afraid I might make you angry.
Only shoes know about holes in socks.,Only a shoe knows about a hole in a sock.
I bought you a kite.,I bought a kite to give to you.
I'd like to listen to pop music.,I like listening to pop music.
The cake tastes sweet.,This cake is sweet.
"All in all, this was a nice party.","In short, it was a great party."
This boy slept for eight hours.,The boy slept eight hours.
I am a housewife.,I'm a housewife.
That forest fire happened from natural cause.,This forest fire was naturally caused.
Clothes make the man.,Fine feathers make fine birds.
A cheap coat makes a cheap man.,Dress for success.
This wine is extremely delicious.,This wine tastes great.
Much legal language is obscure to a layman.,Legal terminology is usually incomprehensible to non-specialists.
There is not a store near my house.,There are no shops near my house.
Today no one can imagine a life without television.,"Today, nobody can imagine a life without a TV."
Life is a fatal sexually transmitted disease.,Life is a sexually transmitted terminal disease.
"Over a long period of time, I had the habit of going to sleep early.","For a long time, I've had a habit of going to bed early."
Don't take me seriously. I'm only joking.,Don't take it seriously. It's a joke.
I am certain that we will find a solution.,I'm sure we'll find a solution.
That is a strange sentence.,This is a funny sentence.
Does someone know how to earn money in time of crisis?,Does anyone know how to make money in a time of crisis?
He had something that I didn't have - faith.,He has something that I don't: faith.
He has something I don't: confidence.,He has what I lack; confidence.
Why do you want to know what I'm thinking?,I want to know what you're doing here.
The doctor works from morning until night.,The doctor is working from morning til night.
Everything has two sides. Fanatics only see one.,Things are usually janus-faced. And these fanatics only see one side.
The mischievous son loved his dad.,The mischievous little boy loved his dad very much.
I'll leave Tokyo for Osaka tonight.,"This evening, I am leaving Tokyo for Osaka."
Spring is over and summer has come.,Spring passed and summer began.
She is going to wash the bike this afternoon.,She'll clean the bicycle this afternoon.
A strong wind is blowing and I can't walk fast.,"The wind is strong, so I am not going quickly."
How many prefectures are there in Japan?,How many prefectures does Japan have?
I am often contrasted with my brother.,I am often compared to my older brother.
Please tell me where you will live.,Can you tell me where you live?
This pamphlet is free of charge.,That leaflet can be obtained for free.
Do you eat seaweed in your country?,Do people from your country eat kelp?
My father cannot lift it up.,My father can't lift it up.
He is the person whom I saw yesterday.,He is the man I saw yesterday.
These meetings are infinite and fruitless.,These are just useless and resultless meetings.
There is no excuse to help get you out of the meeting.,There is no excuse that will let you be absent from the meeting.
He is master of this house.,He's the man of the house.
"If you touch this switch, it will open the curtains automatically.",If you press this button the window opens automatically.
We were worried.,We're anxious.
We're worried.,We've been worried.
We were apprehensive.,We were concerned.
His trouble was chiefly mental.,His illness was mainly psychological.
Let's come back to it later.,Postponed is not abandoned.
The chocolate cake tempted her even though she was dieting.,"The chocolate cake led her into temptation, though she was on a diet."
I am not always free on Sundays.,I may not always be free on Sundays.
None of the money is yours.,None of this is your money.
He tells a new lie to cover up those that came before.,He told a new lie to cover up an old one.
Put his address down.,Write down his address.
Paris is best in autumn.,Paris is at its best in autumn.
He hanged himself.,He committed suicide by hanging himself.
I am sorry that my friend is not here.,I'm sorry my friend isn't here.
She can swim as fast as her brother.,He knows how to swim as fast as his brother.
I apologize for not writing to you before.,Please forgive me for not having written to you earlier.
The author translated the fairy tale into our mother tongue.,That author translated those fairy tales into our language.
What I have in my hand is a fossil seashell.,A fossilized shell is what I'm holding in my hands.
Winter is over and spring has come.,"The winter has passed, and spring has arrived."
I find it much easier to speak French than English.,I find French much easier than English to speak.
The law is not always fair.,The law isn't always fair.
Is it an illegal taxi? I ask him.,"Is that an illegal taxi?, I asked him."
You should return home before it gets dark.,Come home before dark.
You should apologize to Dad for not coming home in time for supper.,You should apologize to your father for not getting home in time for dinner.
You may as well tell me all about it.,You'd better tell me everything.
He blew all his money.,He has already used up all of his money.
He is a hen-pecked husband.,His wife has him under the thumb.
He's under the thumb.,He's henpecked.
She knows ten times as many English words as I do.,She knows ten times more English words than me.
My French is crappy.,My French is shitty.
My friend died from a wound.,My friend died from an injury.
You don't have to answer if you don't want to.,"If you don't want to answer, you don't have to."
It was totally quiet in the street.,In the street was total silence.
Then the street was very quiet.,Then the street was quiet.
It's illegal!,That's illegal.
This is illegal.,This isn't legal.
That's against the rules.,It's against the law.
That's not legal.,That's a violation of the rules.
We have nothing to be ashamed of.,We have no reason to feel ashamed.
It's a difficult world.,This word is difficult.
They never tell a lie.,You never tell lies.
Tom decided to stay with Mary.,Tom decided to stay at Mary's.
She stood before the mirror.,She stood in front of the mirror.
Don't ask me what it was.,Don't ask me what that is.
We are from Germany.,We're from Germany.
Both of us are from Germany.,We both come from Germany.
I talked to Tom.,I spoke to Tom.
I spoke with Tom.,I talked with Tom.
I've spoken with Tom.,I was talking to Tom.
I was speaking with Tom.,I was talking with Tom.
What did you hear?,What have you heard?
Do you trust her?,Do you trust him?
Will you leave the door open?,"Would you leave the door open, please?"
This is not very stylish.,That's not very elegant.
Tom doesn't have the time.,Tom doesn't have time.
A DNA test showed he was innocent.,A DNA test proved she was innocent.
A DNA test proved his innocence.,A DNA test proved her innocence.
We have seen no one.,We haven't seen anyone.
We didn't see anybody.,No one was seen.
I know it's difficult to believe.,I know it's hard to believe.
He said something.,She said something.
Everyone was stunned.,Everyone's shocked.
Everybody was startled.,Everybody was stunned.
Everyone was shocked.,Everyone was surprised.
Tom has got his own problems.,Tom has his own problems.
What does Tom suggest?,What's Tom suggesting?
He sat reading with his wife sewing by the fire.,He sat down and read while his wife was cooking by the fire.
"The rules must be few, and what is more important, simple.","There must be only but a few rules; moreover, they have to be simple."
He is specializing in the study of economics.,He is majoring in economics.
It was a silent night in winter.,It was a quiet winter evening.
Are you already at home?,Are you already home?
My brother did that on behalf of me.,My brother did it in my name.
My brother did it on my behalf.,"My little brother did it, not me."
I know that life is short.,I know life is short.
Where is the hammer?,Where's the hammer?
Tom runs faster than me.,Tom runs faster than I do.
I made a few changes.,I made some modifications.
A Persian cat was sleeping under the table.,The persian cat slept on the table.
I know I did a horrible thing.,I know I did an awful thing.
We'll never catch him.,We'll never catch her.
What were you doing in Boston?,What did you do in Boston?
His English is quite good.,His English is really good.
This squirrel is allergic to nuts.,This squirrel has a nut allergy.
Will you buy something?,Are you buying something?
Slowly his eyes adjusted to the darkness.,Slowly his eyes got used to the dark.
His speech impressed us very much.,His speech deeply impressed us.
Houdini was a famous escapologist.,Houdini was a famous escape artist.
Did you hear about what's happened to Tom?,Did you hear what happened to Tom?
Her toy was broken by her little sister.,It was her little sister that broke her toy.
He was an honest man.,"Previously, he was a successful man."
This modern machine dispenses with much hard labor.,"If you use this modern equipment, it will save a lot of manpower."
Will six o'clock suit you?,Is 6 o'clock OK?
How about six o'clock?,How about six?
I have three times more books than you do.,I have three times as many books as you do.
How many does he want?,How much do you want?
How much are you asking?,What's your asking price?
We have a lot of rain in June and July.,It rains a lot during June and July.
Tom is drunk again.,Tom is still drunk.
We can help Tom.,We might be able to help Tom.
It was yesterday that a young woman came to see me.,A young woman came to visit me yesterday.
Tom is happy traveling by himself.,Tom likes to travel alone.
Mary is a female spy.,Mary is a spy.
Truth will always prevail.,The truth will always win.
We'll talk about that soon.,We will talk about this soon.
He is in excellent physical condition.,He is in perfect shape.
I'm not famous.,I am not famous.
Why did he live in the United States?,Why was he living in the US?
I can start tomorrow.,I can head out tomorrow.
He chastised them for being noisy.,He scolded them because of the noise.
"I'm sorry, but it's just not possible.","I'm sorry, but that is simply impossible."
He is an absolute monarch.,He is a complete monarch.
She is unable to cope with stress.,She can't cope with stress.
There is a clock on the wall.,The clock is hung on the wall.
Don't forget to put out the light before you go to bed.,Do not forget to turn the light off before you go to bed.
"He is a British citizen, but lives in India.","He's English, but lives in India."
She got into the car and drove off.,She got in her car and left.
I'll give you a painkilling injection.,I'm going to give you an injection of an analgesic.
Not all of them are present.,All of them are not present.
"Finally, we found a point of compromise.",Finally we reached a compromise.
"It was hot, and in addition, it was humid.",The weather was hot. And pretty humid.
Don't worry. I have completely recovered.,"Don't worry, I have already fixed it."
Tom looked at me and smiled.,Tom looked back at me and grinned.
"Excuse me, but I have no change.","Sorry, I don't have any change."
This law is applicable to all cases.,This law is applicable in every case.
There is too much acid in this orange.,This orange is too sour.
Let's begin at the last line but one.,Let's start at the second-to-last line.
I am quite comfortable in this room.,I feel at home in this room.
It is worthwhile to have a try at it.,It's worth a try.
I think it's worth a try.,It's worth a shot.
I believe it's worth trying.,It's worth trying it.
Could you change my room for me?,Could you exchange rooms with me?
"When the girl entered the room, some boys made fun of her because of her little hat.","As this girl entered the room, every child was laughing at her little hat."
They are all studients.,They're all studients.
"That is, she is a poor dancer.",She's just not good at dancing.
We are in the era of atomic energy.,We are in the age of nuclear energy.
They killed time playing cards.,They passed time by playing cards.
Let me relieve you of your suitcase.,I will take your suitcase.
I like the old car more than the new.,I like this old car more than a new one.
This is a dog resembling a horse.,This is a dog that resembles a horse.
There was a five-year-old girl in the family.,This family has a five year old child.
"When you come across new words, you must look them up in your dictionary.","When you come across unknown words, you have to look them up in the dictionary."
I've got to fix my hair.,I want to wash my hair.
It might be a wedding.,It appears to be a wedding.
It looks like a wedding.,It resembles a wedding.
I don't regret it.,I don't regret this.
This may not be a real diamond.,This might not be a genuine diamond.
"I was unable to leave home last Saturday, with my mother being ill.","Since my mother was sick, I couldn't leave the house last Saturday."
