Text,Paraphrase
I'm vegetarian.,I'm a vegan.
"The check, please.","Check, please."
"Give me the bill, please.","May I have the check, please?"
Could I have the check?,Please bring me my bill.
"Could I have the bill, please?","Can you bring me the bill, please?"
"Waiter, may I please have the check?","Waiter, the bill please."
"Waiter, may I have the bill please?","Waiter, the check please."
Can I please have the bill?,Please let me have my bill.
"Waiter, check please.","I would like to pay, please."
How's your sister?,How's your little sister?
How are things going with your youngest sister?,How is your sister?
People love to talk - talk - talk.,People love to talk.
People like to talk.,the people love talk talk and talk
People love to speak.,People love talking.
He remained dumb during this discussion.,He was silent the whole discussion.
The song reminds me of my young days.,That song reminds me of my childhood.
This song reminds me of young days.,"When I hear that song, I think about when I was young."
When I hear that song I remember my youth.,This song makes me think of when I was young.
What's that building?,What is that building?
Wait till the light turns green.,Wait until the light changes to green.
It is very hot today.,It's balmy today.
It's awfully hot today.,It is rather warm today.
It is pretty warm today.,It is especially hot today.
It's insanely hot today.,It's hot today.
"It's hot today, isn't it?",The heat is terrible today.
It's fairly warm today.,Today is extremely hot.
Today is very warm.,It's warm today.
It is hot today.,It's really hot today.
It's quite warm today.,It's very warm today.
Today is hectic.,Today it's quite hot.
It's a hot day.,It's pretty hot today.
Today is a warm day.,Today is a very hot day.
It's quite hot today.,It is very warm today!
I have dry skin.,My skin is dry.
He called for help.,He gave a loud cry for help.
He cried out for help in a loud voice.,She screamed for help.
He strongly cried out asking for help.,He asked for help.
She cried out for help.,He requested help.
He shouted for help.,He yelled for help.
They have been on good terms with their neighbours.,They're on good terms with their neighbors.
The dog is mine.,It is my dog.
You work too hard.,You're overworked.
You are overworked.,They're not afraid of hard work.
You are a workaholic.,They work hard.
You're a workaholic.,You're working too hard.
They work too much.,You try too hard.
You're trying too hard.,You've done too much work.
I'll pay for your lunch today.,Today I'm paying for your lunch.
He made up his mind to be a doctor.,He made a determination to be a doctor.
Tom need not go to school today.,Tom doesn't have to go to school today.
Avoid smoking excessively.,Please don't smoke too much.
Don't smoke so much.,Don't smoke so heavily.
For some reason I feel more alive at night.,"For one reason or another, I'm more active at night."
Open up.,"Open the door, please."
Unlock the door.,He opened the door.
She pulled the door open.,Will you please open the door?
He pulled open the door.,Open the door!
Open the doors.,Open the gate.
Open these doors.,Open this door.
Open those doors!,Open up the door.
Unlock it.,He opened the doors.
He opened the gate.,Open!
The strong winds were blowing.,It was really windy.
There was a lot of wind.,It was very windy.
You are pregnant.,You're pregnant.
I have never heard her sing.,I never heard him sing.
What sports do you like?,What sport do you like best?
What is your favorite sport?,What kind of sport do you like the best?
Which is the sport that you like?,Which sport do you like the most?
He knows how to play the piano.,She can play the piano.
He plays the piano.,He plays piano.
Do you think animals have souls?,Do you believe that animals have souls?
Can you guess her age?,How old do you think she is?
"Bill, answer the door.","Bill, open the door."
Who did you write a letter to?,To whom did you write the letter?
He is in fear of the dog.,He is afraid of dogs.
He is afraid of the dogs.,He's scared of dogs.
He's afraid of that dog.,She's afraid of this dog.
I waited for her for a long time.,I waited for her forever.
My friends invited me to dinner.,My friends treated me to a meal.
My friends invited me for dinner.,My friend invited me to go out to dinner.
Where did you pick up your Italian?,Where has he learned Italian?
Where has she learned Italian?,Where did you learn Italian?
He went to America for the purpose of studying American literature.,He went to America to study American literature.
It is risky for you to go into that area alone.,It's dangerous to go there alone.
Saying is quite different from doing.,Saying and doing are two different things.
Saying is one thing and doing another.,"Talking is one thing, doing is another."
"To say is one thing, and to do is another.",Promises don't fill up your stomach.
Your stomach won't be full from promises.,A promise is not enough.
It is easy to say and hard to accomplish.,That's easier said than done.
"It's easy to say, but it's not easy to do.",Promises won't butter any bread.
Promises aren't enough.,A promise isn't enough.
It's fun to play tennis.,Playing tennis is a lot of fun.
Tennis is loads of fun.,Playing tennis is fun.
Let me go with you.,Allow me to go with you.
Let me come with you.,Allow me to accompany you.
"Excuse me, may I open the window?","Excuse me but, would you mind if I opened the window?"
I can do it if you give me a chance.,I can do that if you let me.
The people with whom I work are all very kind.,The people I work with are all very kind.
He reads the paper every morning.,She reads the newspaper every morning.
She reads a newspaper every morning.,Every morning she reads the newspaper.
That story is household legend.,This story is very famous; everyone knows it.
"Yesterday we had a good evening with my brothers and friends, and a very nice barbecue.","We had a great evening yesterday with my brothers and my friends, and the barbecue was very good, too."
We are getting on first-rate.,We get on very well.
We're doing great.,We get along great.
We're managing all right.,We get along very well.
I am anxious about your health.,I am anxious about his health.
I am concerned about his health.,I am concerned for your health.
I'm worried because of his health.,His health situation worries me.
I'm very concerned about your health.,I'm very worried about your health.
"We speak that we do know, and testify that we have seen; and ye receive not our witness.","We speak of what we know, and we testify to what we have seen, but still you people do not accept our testimony."
"Someday, the USA will elect its first woman president, and it will rejoice in the long overdue occasion.","The US will one day elect its first woman president, and there will be rejoicing in the long overdue occasion."
Here is a letter for you.,You have a mail.
You have mail.,You've got mail.
The cat likes sleeping.,A cat likes to sleep.
"As a rule, she is an early riser.",He used to get up early.
He wakes up early.,She is an early riser.
He's getting up early.,She's used to getting up early.
She gets up early.,She’s accustomed to rising early.
You'll soon get accustomed to this cold weather.,You'll all get used to the cold climate in no time.
He likes oranges.,She likes oranges.
Who invented the telephone?,Who was the telephone invented by?
The telephone was invented by Bell in 1876.,The telephone was invented in 1876 by Bell.
It seems that Mr Tanaka has passed the exam.,It seems Tanaka passed her exam.
Tom is living in Boston.,Tom lives in Boston.
Tom is staying in Boston.,Tom remains in Boston.
How dare you say that?,How dare you say such a thing!
Where do you get off telling me that?,How dare you tell me such a thing.
I love walking along the river.,I like to walk along the river.
Nothing is holy.,Nothing's sacred.
This man's shouting at me!,This guy is screaming at me.
The bill must be paid today.,The bill still has to be paid today.
"If that's false, she's a liar.","If that is not true, she is a liar."
Vote for us!,Choose us!
I will do the homework.,I will do my homework.
Which is the most difficult language in the world?,"Of all languages, what's the most difficult?"
Tom couldn't answer all of the questions.,Tom didn't manage to answer all the questions.
"I'm just looking, thank you.",I'm just looking around.
I'm just looking.,I'm simply looking.
I'm looking around.,"Thank you, I'm just looking."
He has wine.,She has wine.
Can you drive a car?,Can you drive?
Do you know how to drive?,Can he drive?
What do the papers say?,What will the newspapers say?
Thank you. Please do.,"Thanks. ""You're welcome."""
"Thanks, guys. ""Don't mention it.""",Thank you very much! — You're welcome.
I work for a hospital.,I work in a hospital.
Tom doesn't like to talk about his work.,Tom doesn't like to discuss his work.
My older sister is good at typing.,My sister is a very good typist.
He is still young.,How young she is!
You're young.,He's still young.
She's still young.,He is young.
She is young.,It is young.
They were young.,You were young.
He was young.,She was young.
How young you are!,They're young.
He turned up 30 minutes late.,He turned up half an hour late.
He can speak a little English.,He speaks English a little.
He has a knowledge of English.,She spoke scarcely a word of English.
He can't speak much English.,He can hardly speak any English.
He speaks a little English.,She hardly speaks English.
Health is better than wealth.,Money cannot buy happiness.
Health is above wealth.,Health is more important than money.
Happiness does not consist simply in wealth.,He is rich but he is not happy.
For all his riches he is not happy.,Wealth does not always bring us happiness.
One does not buy happiness.,Money doesn't buy happiness.
Health over wealth.,Happiness can't be bought.
"In spite of all of his riches, he is not at all happy.","Even though he has a lot of money, he's not happy."
You can't buy happiness.,"He's rich, but he's not happy."
You can't eat the money.,"Even though he's wealthy, he isn't happy."
"Even though he has money, he isn't happy.","Despite his wealth, he is not at all happy."
Happiness cannot be bought.,"He has a lot of money, but he is not happy."
Nobody came.,No one is coming.
No one came.,Nobody showed up.
No one showed up.,No one arrived.
No one ever came.,No one will come.
He's kicking me!,He is kicking me!
Oranges are rich in vitamin C.,Oranges have a lot of vitamin C.
Oranges contain lots of vitamin C.,Oranges are a good source of vitamin C.
Have you got a mobile phone?,Do you have a mobile phone?
Do you have a phone?,Has she got a phone?
How does this soup taste?,Was the soup tasty?
I didn't play tennis yesterday.,Yesterday I did not play tennis.
How do you like your coffee?,How do you take your coffee?
Don't hate what you don't understand!,Don't hate something that you don't understand.
They boil water for tea.,They are boiling water for tea.
"Entering the room, I found her playing the piano.","When I entered the room, she was playing the piano."
This is not my car.,This isn't my car.
This car doesn't belong to me.,This car is not mine.
I am your father.,I'm your father.
You are very brave.,You've got a lot of guts.
You have a lot of nerve!,You have got a lot of nerve.
You are very courageous.,You're so gallant.
You're too nervous.,You're very brave.
You're a brave person.,You are so brave!
You are so courageous!,You're very courageous.
You're so brave.,You're really brave.
"One, three, and five are odd numbers.","And 1, 3, 5 are odd numbers."
I think that you're wrong.,I should think you are in the wrong.
"In my opinion, you are wrong.","In my opinion, he is wrong."
"In my opinion, you're wrong.",I think you're wrong.
I think you are mistaken.,I believe you are incorrect.
I think you're mistaken.,I believe you're mistaken.
You should have attended the meeting.,You should've attended the meeting.
The shop closes at seven.,The store is closing at 7.
The lake is big.,Water is important.
He could not believe his eyes.,He couldn't believe his eyes.
Where is Father?,Where is your father?
Where is my dad?,Where's Daddy?
How about your father?,Where's my daddy?
Where's my father?,Where's your dad?
Where's your father?,Where is my father?
Tom has a friend who lives in Boston.,Tom has a friend living in Boston.
He went out just now.,I'm afraid he's just gone out.
He left just now.,He left just a moment ago.
She just left.,It just came out.
He just left.,She's just left.
We went to the park to take pictures.,We've gone to the park to take photos.
That's a tall order.,It won't be easy.
It's not going to be easy.,It won't be that easy.
That's a tough one.,That's a tricky one.
Tom and Mary both have very few friends.,Neither Tom nor Mary has many friends.
It was terribly cold yesterday.,It was cold yesterday.
We are his sons.,We are his children.
She is two years senior to you.,She's two years older than you.
I will never forget seeing you.,I will remember for you forever.
I'll never forget meeting you.,I'll remember you forever.
I will always remember you.,I will never forget you.
I'll never ever forget you.,You remain always in my memory.
Give me a bottle of wine.,"A glass of wine, please."
Does your friend like tea?,Does your boyfriend like to drink tea?
Tom didn't do it.,Tom didn't do that.
Tom didn't do this.,Tom hasn't done that.
It's snowy today.,It's snowing today.
It'll snow today.,Today it is snowing.
Today it's snowing.,It is snowing today.
What did you do yesterday?,What were you doing yesterday?
I am of the opinion that he will never come back.,I think he'll never return.
We're counting on you to help.,We're counting on your help.
There are many theories about the origin of life.,There exist numerous theories about the origins of life.
He envied my success.,He was jealous of my success.
What is your favorite prayer?,Which sentence do you prefer?
He fell in love with her.,He loves her.
He loves them.,He fell for her big time.
She admired him.,She adores him.
She idolized him.,She likes him.
She loves him.,She wants him.
She worships him.,He is completely besotted with her.
He's got a crush on her.,He admired her.
She looked up at him.,She liked it.
She liked that.,He liked that.
She was looking at him.,He likes you!
She likes you!,She looked at him.
You are in love with him.,He loves you.
He loves him.,She loves her.
You love her.,He adores him.
He worships him.,He adores it.
She adores it.,He worships it.
She worships it.,He wants that.
She wants that.,He likes her.
She likes her.,He wants it.
She wants it.,He wants you.
She wants you.,He likes this.
She loves you.,She likes them.
Bill is two years older than I.,Bill is two years senior to me.
Who said that?,Who did you learn it from?
From whom did you learn that?,Who taught you that?
Who said it?,Who taught you how to do this?
Who taught you this?,Who did you learn that from?
I feel like I'm forgeting something.,I think I've forgotten something.
Don't throw a stone at the dog.,Don't throw stones at the dog.
These tomatoes don't have any taste.,These tomatoes are tasteless.
She did not visit me on Sunday but on Monday.,"She visited me, not on Sunday, but on Monday."
Please show your ticket.,May I have a look at your ticket?
"Ticket, please.","May I see your boarding pass, please?"
Let me check your ticket.,"I'd like to see your ticket, please."
"Your ticket, please.",Let me see your ticket.
"Kids, listen!","Children, listen!"
I'll kill him.,I'll kill you.
I will kill you.,I am going to kill you!
I'll choke the life out of him.,I'll kill it.
I'm going to kill you.,I'm going to strangle him.
They died one after another.,They died one after the other.
My father caught three fish yesterday.,Yesterday my father caught three fish.
Time has passed very fast.,How time flies!
Time is going by very quickly.,Time passes quickly.
Time flies.,Time passes by quickly.
Time goes by quickly.,Time goes very swiftly.
Time is running out.,Time flew.
Time is getting short.,The time has flown.
The time has passed very quickly.,Time passes too quickly!
Time is running short.,Time's running out.
Time is flying by.,Time marches on.
I lost him among the crowd.,I lost him in the crowd.
My aunt gave me an album.,My aunt gave me a photo album.
A bee flew out of the window.,A bumblebee flew out the window.
I have to clean my room.,I should clean the room.
Don't look at me that way.,Stop looking at me like that!
Don't give me that look.,I don't want that kind of look from you.
"With the help of doctors, she got over her illness.","With the help of the doctors, she recovered."
I prefer taking medicine rather than getting an injection.,I prefer to take medicine rather than getting a shot.
She took my brother for me.,She took me for my brother.
Anyone with an opinion please raise their hand.,"If you have a thought, please raise your hand."
My house is conveniently close to the station.,My home is close to the station.
My house is situated near the station.,My house is located in a convenient place - near the train station.
What kind of book do you want?,Which book do you need?
I forgot to put on the stamp before I mailed the letter.,I forgot to stick the stamp onto the letter to be sent.
He has visited France three times.,She has been to France three times.
He found his parents.,He found his mothers.
An epidemic has broken out.,An epidemic disease broke out.
Do you have a pen on you?,I wonder if you have something to write with.
Do you have any pencils?,Have you got a pen?
Do you have a pencil about you?,Do you have anything to write with in there?
Do you have a ballpen?,Do you have pencils?
Do you have a ballpoint pen?,Have you got any pencils?
I bought my sister a new hat.,I bought a new hat for my sister.
Like a thorn stuck in your throat.,Just as a thorn stuck in one's throat.
Can you write a letter in English?,Do you know how to write a letter in English?
"Just as he was going out, there was a great earthquake.","When he was just about to leave, an earthquake started."
There's a tiny amount of milk left in the bottle.,There's some milk in the bottle.
This girl is from Japan.,This girl comes from Japan.
When was this temple built?,When was this church built?
I recognized her the moment I saw her.,I recognized her as soon as I saw her.
I got up while it was still dark.,"When I woke up, it was still dark outside."
I'm going to join a demonstration.,I want to participate in the protest.
Please help yourself to the cake.,Please help yourself to some cake.
"Help yourself to the cake, please.",Please have some pie.
Please eat some cake.,Help yourself to a piece of cake.
Have a piece of pie.,Please have some cake.
It is raining.,It's raining buckets outside.
It rained heavily.,It began raining in earnest.
It began to rain cats and dogs.,Down came the rain in torrents.
The rain began to fall.,It was raining.
It is raining heavily.,I was caught in a shower.
Down came a shower of rain.,It began snowing just now.
It began raining just now.,It poured down.
It is raining hard now.,It's rainy today.
It's raining hard tonight.,It was raining last night.
The snow has just come on.,It was beginning to snow.
It began to snow.,The rain is teeming down.
He doesn't have his feet on the ground.,I was caught in an evening shower.
It's raining cats and dogs tonight.,It's started to snow.
It rained yesterday evening.,It's raining.
It's raining outside.,It began to rain.
It started raining heavily.,It snows outside.
It's raining hard.,It rained cats and dogs.
It rained.,It's just started snowing.
It started to rain in torrents.,It's pissing with rain.
It's bucketing down.,The weather is rainy.
The rain came down in rods.,It's pouring pretty hard out there!
A heavy rain fell.,It's raining very hard.
It's pouring down.,It rained yesterday afternoon.
It is raining cats and dogs.,Rain is pouring.
It's pouring down rain.,It's been raining hard.
It's snowing on the streets.,It's raining hard outside.
It's starting to rain.,It's snowing outside.
It just started to rain.,It started raining.
It's pouring with rain.,It has started raining.
It's started raining.,It's raining today.
It's raining outside right now.,It's been raining a lot.
It rained last night.,I got caught in a rainstorm.
There's snow outside.,"Today, it's raining."
It rains.,It is raining today.
It's lashing.,It's just started raining.
It's raining heavily.,It's beginning to rain.
It began raining hard.,It's begun to rain.
It's started snowing.,It's pissing down.
It floats.,It will rain today.
I locked the door.,I bolted the door.
Did you telephone him?,Did you phone him?
Did you phone her?,Have you called him?
Have you called her?,Did you call him?
Please take more care in the future.,"Please, be a bit more careful in the future."
How far is it to the airport?,How far away is the airport?
You called?,Did you call?
Did you call me?,Have you called me?
"Were I a bird, I would fly to you.","If I were a bird, I could fly to you."
"If I had been a bird, I could have flown to you.","If I'd been a bird, I could've flown to you."
His new car is a beauty.,His new car is wonderful.
She gets good marks in English.,Her grade in English was very good.
I think your theory does not hold water.,Your theory does not hold up.
I work at this company.,I was working in this factory.
I worked in this factory.,I work for this company.
I will get even with you some day.,You will pay for it.
You're going to pay for this.,You'll pay for that.
My grandfather used to make furniture for himself.,My grandfather used to make his own furniture.
The hot bath relaxed my muscles.,A hot bath loosened my muscles.
How do you spell your name?,"Spell your name, please."
"Could you spell your name, please?",Please spell your name.
Can you spell your name for me?,How is your name spelt?
"Give me a light, would you?",Will you give me a light?
Have you got a lighter?,Do you have a lighter?
Have you any fever?,Any fever?
He admitted John yesterday.,He allowed John to enter yesterday.
Do you go to school on foot?,Do you walk to school?
His name has completely gone out of my mind.,I can't recall her name.
His name eludes me.,I can't think of his name just now.
I can't recall her name at the moment.,I don't remember his name.
I don't know his name.,I forget his name.
His name has slipped my mind.,Their names escaped me.
Their names have escaped me.,I've completely forgotten his name.
I couldn't remember their names.,I forgot what his name was.
For a moment I forgot what her name was.,Her name slipped my mind.
I forgot her name.,I forgot its name.
I don't remember her name.,You forgot his name.
I can't even remember what his name was.,I don’t know their names.
I forgot what they called him.,I don't know her name.
I've forgotten your name.,I don't know what her name is.
I've forgotten her name.,His name escapes me.
I've forgotten his last name.,I have forgotten her last name.
I forget her name.,I've forgotten the name.
I don't recall that name.,I forgot your name.
I can't recall his first name.,I forgot their names.
He's as blind as a bat.,He has terrible eye sight.
He is heroic.,He is a hero.
I am working on my new book.,I have a new book I'm working on.
You can eat and drink as much as you want.,Eat and drink all that you want!
"I don't like it, either.",I do not like him either.
I don't like him either.,I don't like that either.
I have no further questions.,I don't have any other questions.
All big cities have traffic problems.,All big cities have transportation problems.
I'm holding a book.,I'm taking a book.
I would rather not go there alone.,I wouldn't go there on my own.
He has a long nose.,You have a big nose.
The baby is asleep.,The baby was fast asleep.
The baby fell asleep.,The kids are asleep.
The baby is sleeping.,The baby has fallen asleep.
The baby was sound asleep.,The baby continues to sleep.
The baby's sleeping.,The children are asleep.
The boy is still sleeping.,The kids are sleeping.
When did they go home?,When did you go home?
It is I that am responsible for the accident.,I'm the one responsible for the accident.
They can overcome their fear.,They can conquer their fear.
He delivered a speech.,He was speaking.
He spoke.,He gave a speech.
He was giving a speech.,He made a speech.
She talked.,She was talking.
His opinion doesn't count.,Your opinion is irrelevant.
"She said: ""I'm very happy.""","I am very happy, he said."
Don't you add some sugar?,No sugar for you?
We have no acquaintance with her.,We don't know him.
We don't know her.,We don't know anything about him.
We don't know each other.,We do not know her.
We haven't met.,We are not acquainted with each other.
It doesn't bode well!,This does not bode well.
This is not a good sign.,It's a good start.
That's a great start!,This is a bad sign.
That's not a bad start.,It's a bad omen.
Who sings that song?,Who sings this song?
He kicked the ball.,He kicked the ball with his foot.
You're driving too fast.,You're driving way too fast.
Don't phone her now.,Don't call her now.
Don't call him now.,Don't call him on the telephone now.
He speaks Spanish as well as French.,"He doesn't just speak French, he speaks Spanish as well."
"He not only speaks French, but he speaks Spanish, too.",I can speak French and also Spanish.
"He speaks not only Spanish, but also French.","He speaks not only French, but also Spanish."
Tom is looking for Mary.,Tom is calling Mary.
Do you know that crying boy?,Do you know that boy who's crying?
Where does your grandpa live?,Where does your grandfather live?
The meat was giving off a terrible smell.,This meat smells bad.
This meat has a bad smell.,The flesh smells horrible.
It can happen to anyone.,That can happen to anybody.
This could've happened to anybody.,It could've happened to anyone.
It happens to everyone.,This could have happened to anybody.
Animals cannot distinguish right from wrong.,Animals can't distinguish between true and false.
Animals can't tell what's real and what's fake.,Animals cannot distinguish between truth and falsehood.
I am calling my brother.,I'm looking for my brother.
Who will pay?,Who's paying?
Will Tom die?,Is Tom going to die?
The war lasted two years.,The war lasted for about two years.
I arrived here yesterday.,I came here yesterday.
I came yesterday.,I got here last night.
I was just here yesterday.,Yesterday I came here.
I arrived last night.,I arrived yesterday.
I just got here yesterday.,I was here yesterday.
She has a round face.,He has a chubby face.
She has an oval face.,She has a purplish face.
Whose books are these?,Whose books are those?
Whose notebook is that?,Whose is that notebook?
Whose paper is this?,Whose newspaper is this?
Open your mouth!,Open your mouth wide.
Happy Mother's Day!,Happy Mothering Sunday.
My friend sent me a letter asking how I was.,My friend sent me a letter in which he asked me if I'm well.
Newspaper reporters were not permitted inside.,The press is not allowed inside.
I've never said that!,I didn't say it.
I didn't say that.,I never said that.
That's not what I'm saying.,I wasn't talking...
I never said any such thing.,I said nothing of the kind.
That's not what I said.,I wasn't saying that.
I'd never say that.,This I didn't say.
I didn't say this.,I didn't speak.
I'd never say those things.,I never would've said that.
I said no such thing.,I have never said such things.
I couldn't answer all the questions.,I'm not able to respond to all of your questions.
The decision rests with him.,The decision belongs to him.
It was his decision.,It is his decision.
I understand now.,Now I understand.
Now I get it.,I am beginning to understand it.
I finally understand.,I'm beginning to understand.
I understand that now.,Now we understand.
It wasn't a request.,I didn't ask you to do that.
I didn't ask you that.,I've asked you not to do that.
I haven't asked him.,I haven't asked her.
I didn't ask him.,I didn't ask her.
It wasn't expensive.,It wasn't that expensive.
This wasn't expensive.,This wasn't so expensive.
It wasn't real love.,This is not true love.
It wasn't very good.,It wasn't all that great.
This is a splendid house.,It's a pretty house.
This is a beautiful house.,That's a nice house.
My telephone is out of order.,My phone was out of order.
My phone was broken.,My telephone doesn't work.
My phone doesn't work.,My mobile phone is broken.
"Could you turn on the light, please?","Turn on the light, please."
Please turn on the light.,Turn off the light.
Will you turn on the light?,Put out the light.
Could you all turn off the lights?,Please turn off the lights.
Turn on your headlights.,Turn on the lights.
Can you turn off the light?,Be a dear and shut off the light.
We live close to the school.,We live in the vicinity of the school.
The result of my exams was not what I had expected.,The test result isn't what I had expected.
The results of the exam were not what I was expecting.,The exam results were not what she expected.
He fled lest he should be arrested.,He ran away so he wouldn't be caught.
